member_name,member_number
CITIZEN MINT INC.,27802
"CITIZENS SECURITIES, INC.",10651
"CLARION PARTNERS, LLC",18629
CLEAR STREET LLC,18500
"CLEARTRUST, LLC",27699
"CLIENT ONE SECURITIES, LLC",18595
CLIFTONLARSONALLEN LLP,28540
"CLS INVESTMENT FIRM, LLC",14565
CMFG LIFE INSURANCE COMPANY,10857
"CNL CAPITAL MARKETS, LLC",15419
"COBALT CAPITAL, INC.",15513
"COHEN & STEERS SECURITIES, LLC",23577
"COHEN REAL ESTATE ADVISORS, LLC",18316
"COLLER PRIVATE MARKET SECONDARIES ADVISORS, LLC",25122
"COLUMBIA MANAGEMENT INVESTMENT DISTRIBUTORS, INC.",10768
COMERICA BANK,10774
COMMERCE BANK,10778
COMMONWEALTH ANNUITY AND LIFE INSURANCE COMPANY,10783
COMMONWEALTH EQUITY SERVICES LLC,10784
"COMMUNITY BANK, NATIONAL ASSOCIATION",10788
"COMPREHENSIVE BROKERAGE SERVICES, LLC",18876
COMPREHENSIVE FINANCIAL PLANNING CORP.,18257
COMPUTERSHARE INC.,26177
CONCISE CAPITAL MANAGEMENT LP,15923
"CONCORDE FUNDS, INC.",10798
"CONCORDE INVESTMENT SERVICES, LLC",15562
"CONDUENT HR SERVICES, LLC",10019
CONESTOGA FUNDS,10801
CONTINENTAL STOCK TRANSFER AND TRUST COMPANY,27439
"COPPER FINANCIAL NETWORK, LLC",18171
"CORE CAPITAL MANAGEMENT, LLC",16067
"COREBRIDGE CAPITAL SERVICES, INC.",16281
"COTTONWOOD COMMUNITIES, INC.",17515
COUNTRY CAPITAL MANAGEMENT COMPANY,16227
"COUNTRY CLUB BANK, KANSAS, KANSAS CITY, MO.",10823
COVERCY INC.,28258
CREDIT AGRICOLE SECURITIES (USA) INC.,10834
CRESCENT CAPITAL GROUP LP,18349
"CRESCENT SECURITIES GROUP, INC",17575
"CRESTLINE LENDING SOLUTIONS, LLC",28581
"CROSS CREEK ADVISORS, LLC",19579
"CROSSMARK DISTRIBUTORS, INC.",10620
"CRYSTAL CAPITAL PARTNERS, LLC",15129
"CUREX CAPITAL ADVISORS, LLC",19620
"CURI RMB CAPITAL, LLC",18108
"CURVATURE SECURITIES, LLC",20814
"CWM, LLC",21310
D. A. DAVIDSON & CO.,10889
"DAI SECURITIES, LLC",18692
DAIWA CAPITAL MARKETS AMERICA INC.,10872
DASH FINANCIAL TECHNOLOGIES LLC,11019
DAVENPORT & COMPANY LLC,10887
"DAVID LERNER ASSOCIATES, INC.",12134
"DAVIS DISTRIBUTORS, LLC",10890
DAWSON PARTNERS INC.,25580
DEALERWEB INC.,18195
"DELAWARE DISTRIBUTORS, L.P.",10907
DELAWARE LIFE INSURANCE COMPANY,14574
"DELTA DATA SOFTWARE, INC.",16361
DESTRA CAPITAL INVESTMENTS LLC,15062
DEUTSCHE BANK SECURITIES INC.,10922
DFA SECURITIES LLC,10936
DIAMOND STANDARD FUND LLC,21938
DIRECTED TRUST COMPANY,27542
"DISTRIBUTION SERVICES, LLC",14100
"DLP CAPITAL ADVISORS, LLC",17597
DODGE & COX FUNDS,10957
DODGE & COX WORLDWIDE INVESTMENTS LTD.,15433
"DPL FINANCIAL PARTNERS, LLC",21237
"DRIVEWEALTH, LLC",19999
DSIL INVESTMENT SERVICES LLC,10979
"DUNHAM & ASSOCIATES INVESTMENT COUNSEL, INC.",10986
"DUPREE & COMPANY, INC.",10987
"DWS DISTRIBUTORS, INC.",10988
EAGLE CAPITAL INTERNATIONAL LLC,24778
EAGLE LIFE INSURANCE COMPANY,10994
EAGLE POINT CREDIT MANAGEMENT LLC,20551
"EAS ACCOUNTING SERVICES, CPA LLC",19195
EASTERLY SECURITIES LLC,19777
EASTERN BANK CAPITAL MARKETS,11000
"EATON VANCE DISTRIBUTORS, INC.",11001
"ECA MARKETING, INC.",23778
"ECC FUND MANAGER II, LLC",22397
EDMOND DE ROTHSCHILD ASSET MANAGEMENT,15276
EDWARD D. JONES & CO.,11939
"EDWARD D. JONES & CO., L.P.",15884
EDWARD JONES TRUST COMPANY,29157
"EF LEGACY SECURITIES, LLC",18827
"ELDRIDGE CAPITAL MANAGEMENT, LLC",28146
EMERSON EQUITY LLC,17495
EMPOWER ANNUITY INSURANCE COMPANY OF AMERICA,16819
"EMPOWER FINANCIAL SERVICES, INC.",14828
EMPOWER LIFE & ANNUITY INSURANCE COMPANY OF NEW YORK,11215
EQUINOXE ALTERNATIVE INVESTMENT SERVICES HOLDINGS LIMITED,16884
"EQUITABLE DISTRIBUTORS, LLC",18083
EQUITABLE FINANCIAL LIFE AND ANNUITY COMPANY,25997
EQUITABLE FINANCIAL LIFE INSURANCE COMPANY,10266
EQUITABLE FINANCIAL LIFE INSURANCE COMPANY OF AMERICA,18964
"EQUITABLE NETWORK, LLC",10268
EQUITRUST LIFE INSURANCE COMPANY,17962
"EQUITY SERVICES, INC.",11075
ESSENTIAL FUND SERVICES LLC,17884
"ETC BROKERAGE SERVICES, LLC",21503
EULAV SECURITIES LLC,15026
EVERLAKE LIFE INSURANCE COMPANY,10094
"EXCHANGERIGHT REAL ESTATE, LLC",18640
"EXETER PROPERTY GROUP, LLC",23901
"FAIRWAY AMERICA, LLC",17088
FARM BUREAU LIFE INSURANCE COMPANY,18486
"FARMERS FINANCIAL SOLUTIONS, LLC",18038
"FBL MARKETING SERVICES, LLC",18680
FEDERATED ADMINISTRATIVE SERVICES,18006
FEDERATED SECURITIES CORP.,11136
"FEF DISTRIBUTORS, LLC",10220
FENIMORE ASSET MANAGEMENT TRUST,11141
"FENIX SECURITIES, LLC",18321
FHN FINANCIAL CAPITAL MARKETS A DIVISION OF FIRST HORIZON BANK-DTC 2445,11259
FHN FINANCIAL SECURITIES CORP.,11420
FIDELITY & GUARANTY LIFE INSURANCE COMPANY,18598
FIDELITY & GUARANTY LIFE INSURANCE COMPANY OF NEW YORK,21958
FIDELITY DISTRIBUTORS COMPANY LLC,11147
FIDELITY INVESTMENTS LIFE INSURANCE COMPANY,15531
FIDELITY SECURITY LIFE INSURANCE COMPANY,14579
"FIDUCIARY EXCHANGE, LLC",18368
"FIDUCIARY MANAGEMENT, INC.",11151
FIDUCIARY TRUST COMPANY INTERNATIONAL,11152
FIDUCIARY--SSB--DTC 0987,11149
FIDX MARKETS LLC,24881
"FIFTH THIRD BANK, NATIONAL ASSOCIATION",11155
"FIFTH THIRD SECURITIES, INC.",11157
FIG LLC,22577
"FILIPPINI WEALTH MANAGEMENT, INC.",19937
"FIRST CITIZENS INVESTOR SERVICES, INC.",11200
"FIRST COMMAND BROKERAGE SERVICES, INC.",18941
"FIRST HEARTLAND CAPITAL, INC.",11218
"FIRST HORIZON ADVISORS, INC.",11258
FIRST MANHATTAN CO.,16300
FIRST NATIONAL BANKERS BANK,11238
FIRST PEOPLES BANK,28201
FIRST SYMETRA NATIONAL LIFE INSURANCE COMPANY OF NEW YORK,11256
FIRST TRUST CAPITAL MANAGEMENT L.P.,26487
"FIRST TRUST PORTFOLIOS, L.P.",14759
FIS BROKERAGE & SECURITIES SERVICES LLC,16597
FLEXIBLE ARCHITECTURE AND SIMPLIFIED TECHNOLOGY INC.,25240
"FLEXIBLE PLAN INVESTMENTS, LTD.",22885
FLOURISH INSURANCE AGENCY LLC,21957
"FMSBONDS, INC.",11284
"FOLIO INVESTMENTS, INC.",11288
"FORESIDE DISTRIBUTION SERVICES, L.P.",14557
"FORESIDE FINANCIAL SERVICES, LLC",10404
"FORESIDE FUND SERVICES, LLC",11323
FORESIDE FUNDS DISTRIBUTORS LLC,14484
"FORESTER FUNDS, INC.",11338
FORETHOUGHT LIFE INSURANCE COMPANY,14798
FORMIDIUM CORP.,18799
FORT POINT CAPITAL PARTNERS LLC,19137
FORTITUDE LIFE INSURANCE & ANNUITY COMPANY,13166
"FOUNDERS FINANCIAL SECURITIES, LLC",16294
"FOUNDERS PROPERTIES, L.L.C.",18042
FOUR SPRINGS CAPITAL TRUST,17218
FOXFIELD LLC,23557
FRANK FUNDS,11395
"FRANKLIN DISTRIBUTORS, LLC",12123
"FRED ALGER & COMPANY, INCORPORATED",11401
FREEDOM 3 CAPITAL LLC,23277
"FRIST CRESSEY VENTURES MANAGEMENT, LLC",23920
FROST BANK,11414
"FS INVESTMENT SOLUTIONS, LLC",17617
FS MVP PRIVATE MARKETS FUND,20757
FSG OPERATING LLC,29237
FUNDAMENTAL ADVISORS LP,27899
FUNDRISE ADVISORS LLC,23637
"FUNDS DISTRIBUTOR, LLC",14543
FUNDVIEWS CAPITAL LLC,23580
FUTU CLEARING INC.,18790
"G. RESEARCH, LLC",11429
G.A. REPPLE & COMPANY,14563
"GABELLI & COMPANY INVESTMENT ADVISERS, INC.",16157
GAINBRIDGE LIFE INSURANCE COMPANY,26740
GALAPAGOS GLOBAL CAPITAL MANAGEMENT LLC,24860
"GALAXY DIGITAL CAPITAL MANAGEMENT, LP",20704
GALILEO INVESTMENT MANAGEMENT LLC,18194
GAM (LUXEMBOURG) S.A.,16110
GAM FUND MANAGEMENT LTD,15391
"GARDEN STATE SECURITIES, INC.",17949
"GCG FINANCIAL, LLC",18127
"GEMINI FUND SERVICES, LLC",14988
"GEN II FUND SERVICES, LLC",17482
"GENEOS WEALTH MANAGEMENT, INC.",11454
GENTRY MILLS CAPITAL LLC,18573
GENWORTH LIFE AND ANNUITY INSURANCE COMPANY,11467
GENWORTH LIFE INSURANCE COMPANY,11469
GENWORTH LIFE INSURANCE COMPANY OF NEW YORK,11470
GLADSTONE SECURITIES LLC,18250
"GLEN EAGLE WEALTH, LLC",16882
"GLENMEDE TRUST COMPANY, N.A. (THE)",11494
GLIDE CAPITAL LLC,17168
"GLOBAL ATLANTIC DISTRIBUTORS, LLC",16264
"GLOBAL ENDOWMENT MANAGEMENT, LP",24898
"GLOBAL FINANCIAL & LEASING SERVICES, LLC",15411
GLOBAL SME GROWTH FUND LP,18454
GLOBAL TRUST COMPANY,11514
"GOLDMAN SACHS WEALTH SERVICES, L.P.",18768
"GOLDMAN, SACHS & CO. LLC",11525
GOLUB CAPITAL LLC,21332
"GRADIENT INSURANCE BROKERAGE, LLC",25257
"GRADIENT SECURITIES, LLC",16803
GRAYS CREEK CAPITAL ADVISORS LLC,24204
"GRAYSTREET CAPITAL MANAGEMENT, LLC",27399
"GREAT GABLE PARTNERS, LP",18347
"GREAT GRAY TRUST COMPANY, LLC",14396
"GREAT LAKES FUND SOLUTIONS, INC.",15701
GREEN PIER FINTECH LLC,22765
GREENBACKER GROUP LLC,16727
GREENBACKER RENEWABLE ENERGY COMPANY II LLC,21280
GREENLAKE REAL ESTATE FUND LLC,17099
"GRIDLINE ADVISORS, LLC",23957
GRIFFIN CAPITAL MGT. LLC,18268
"GRIFFIN REALTY TRUST, INC.",20857
GTIS OZ LLC,18566
GUARANTY INCOME LIFE INSURANCE COMPANY,18055
"GUARDIAN INSURANCE & ANNUITY COMPANY, INC. (THE)",11618
GUGGENHEIM CREDIT INCOME FUND,18094
"GUGGENHEIM FUNDS DISTRIBUTORS, LLC",10739
GUGGENHEIM SECURITIES LLC,11621
"GWN SECURITIES, INC.",18037
HALO SECURITIES LLC,19837
HAMILTON POINT INVESTMENTS LLC,17839
"HAMLIN CAPITAL MANAGEMENT, LLC",18412
HAND BENEFITS & TRUST COMPANY,11642
"HANSON MCCLAIN RETIREMENT NETWORK, LLC",20958
"HANTZ FINANCIAL SERVICES, INC.",27001
"HARBOR FUNDS DISTRIBUTORS, INC.",11652
"HARBOR GROUP INTERNATIONAL, LLC",28763
HARMONIC FUND SERVICES CANADA INC,17607
"HARTFORD FUNDS DISTRIBUTORS, LLC",11662
"HAZLETT, BURT & WATSON, INC.",11684
"HC GLOBAL FUND SERVICES, LLC",16766
HEDGESERV (CAYMAN) LTD.,28877
"HEIM, YOUNG & ASSOCIATES, INC.",16565
HEPTAGON FUND PLC,16070
"HIGHLANDS REIT, INC.",17397
"HIGHTOWER ADVISORS, LLC",18945
"HIGHTOWER SECURITIES, LLC",15081
"HILL STREET REALTY, LLC",17642
"HILLSTREET CAPITAL III, INC.",23077
HILLTOP SECURITIES INC.,15997
HINES PRIVATE WEALTH SOLUTIONS LLC,15426
HIP INVESTMENTS IM LP,22718
HIS KINGDOM RESOURCES FUND,20278
HOLD BROTHERS CAPITAL LLC,14976
HOME FINANCIAL SERVICES INC,11724
"HOMESTEAD FUNDS, INC.",11725
HORACE MANN LIFE INSURANCE COMPANY,15971
"HORAN SECURITIES, INC.",19193
"HORNET MANAGEMENT, LLC",24100
"HORNOR, TOWNSEND & KENT, LLC",11727
"HPS SECURITIES, LLC",25160
HRT FINANCIAL LP,18947
"HSBC BANK USA, NATIONAL ASSOCIATION",11737
HSBC SECURITIES (USA) INC.,11739
"HUMPHREYS CAPITAL, LLC",23921
HUNTLEIGH SECURITIES CORPORATION,18019
IBEXIS LIFE & ANNUITY INSURANCE COMPANY,24338
"ICAPITAL ADVISORS, LLC",16889
"ICAPITAL SECURITIES, LLC",18245
"ICE SECURITIES EXECUTION & CLEARING, LLC",18701
"ICG ADVISORS, LLC",18865
"ICMA-RC SERVICES, LLC",11767
"ICON CAPITAL, LLC",15381
IFAST SECURITIES US CORPORATION,29141
"IFP SECURITIES, LLC",18814
"IGRE CAPITAL HOLDINGS, LLC",24440
"INCLINE INVESTMENT MANAGEMENT, LLC",16521
INCOMMERCIAL CAPITAL CORPORATION,27803
"INDEPENDENT FINANCIAL GROUP, LLC",17875
"INFOSYS MCCAMISH SYSTEMS, LLC",14573
ING FINANCIAL MARKETS LLC,11792
"INGALLS & SNYDER, LLC",11809
INLAND REAL ESTATE INVESTMENT CORPORATION,15412
INNOVATION PARTNERS LLC,27957
"INSPIRA FINANCIAL TRUST, LLC",29082
"INSTINET, LLC",11816
"INSURANCE TECHNOLOGIES, LLC",15231
INSURED CONNECT LLC,18212
"INSURMARK, INC.",21017
INTEGRATED INVESTMENT SOLUTIONS LLC,23759
"INTEGRITY FUNDS DISTRIBUTOR, LLC",11821
INTEGRITY LIFE INSURANCE COMPANY,11822
INTERACTIVE BROKERS LLC,11824
INTERCHANGE CLEARING LLC,27460
"INTERNATIONAL ASSETS ADVISORY, LLC",17270
"INTERVAL PARTNERS, L.P.",17035
